target,value_mean,value_std,value_min,value_25,value_50,value_75,value_100
/data/tomocube/processed/raw_numpy/sepsis/20220526/20220526.122606.484.CD4-068_RI Tomogram.npy,13377.461030845861,47.47411849169711,13300.0,13369.0,13370.0,13372.0,14301.0
/data/tomocube/processed/raw_numpy/sepsis/20220526/20220526.121740.297.CD4-024_RI Tomogram.npy,13381.37369100129,54.7281490149299,13317.0,13369.0,13371.0,13376.0,14276.0
/data/tomocube/processed/raw_numpy/sepsis/20220526/20220526.130309.081.CD8-090_RI Tomogram.npy,13377.602014132684,49.81432745565996,13329.0,13369.0,13370.0,13372.0,14283.0
/data/tomocube/processed/raw_numpy/sepsis/20220526/20220526.121634.080.CD4-017_RI Tomogram.npy,13381.94817321541,57.08527462602019,13259.0,13369.0,13371.0,13376.0,14239.0
/data/tomocube/processed/raw_numpy/sepsis/20220526/20220526.124537.297.CD8-016_RI Tomogram.npy,13378.368090562208,51.22127511307519,13332.0,13369.0,13370.0,13372.0,14263.0
/data/tomocube/processed/raw_numpy/sepsis/20220526/20220526.124730.846.CD8-025_RI Tomogram.npy,13378.082426348506,49.50291812835565,13331.0,13369.0,13370.0,13372.0,14207.0
/data/tomocube/processed/raw_numpy/sepsis/20220526/20220526.130143.972.CD8-085_RI Tomogram.npy,13378.246260914573,51.93729467818801,13314.0,13369.0,13370.0,13373.0,14312.0
/data/tomocube/processed/raw_numpy/sepsis/20220526/20220526.122336.378.CD4-052_RI Tomogram.npy,13377.682638326281,52.153789578414774,13305.0,13369.0,13370.0,13372.0,14393.0
/data/tomocube/processed/raw_numpy/sepsis/20220526/20220526.123141.031.CD4-099_RI Tomogram.npy,13378.524297616546,51.25301178920422,13237.0,13369.0,13370.0,13372.0,14482.0
/data/tomocube/processed/raw_numpy/sepsis/20220526/20220526.125617.548.CD8-072_RI Tomogram.npy,13377.922234349526,51.193130008091885,13321.0,13369.0,13370.0,13372.0,14430.0
/data/tomocube/processed/raw_numpy/sepsis/20220526/20220526.122744.801.CD4-078_RI Tomogram.npy,13378.176391639412,51.635408712381775,13309.0,13369.0,13370.0,13372.0,14243.0
/data/tomocube/processed/raw_numpy/sepsis/20220526/20220526.130658.816.CD8-106_RI Tomogram.npy,13378.835217566337,49.59098939430818,13286.0,13369.0,13370.0,13373.0,14158.0
/data/tomocube/processed/raw_numpy/sepsis/20220526/20220526.125024.925.CD8-040_RI Tomogram.npy,13376.692424435643,39.13362632902663,13305.0,13369.0,13370.0,13372.0,14274.0
/data/tomocube/processed/raw_numpy/sepsis/20220526/20220526.125337.282.CD8-058_RI Tomogram.npy,13378.235013089987,52.82715955227262,13322.0,13369.0,13370.0,13372.0,14287.0
/data/tomocube/processed/raw_numpy/sepsis/20220526/20220526.123213.331.CD4-102_RI Tomogram.npy,13378.482116727178,53.4514667026477,13312.0,13369.0,13370.0,13372.0,14369.0
/data/tomocube/processed/raw_numpy/sepsis/20220526/20220526.124626.252.CD8-020_RI Tomogram.npy,13377.594990360669,48.24704073053429,13331.0,13369.0,13370.0,13372.0,14378.0
/data/tomocube/processed/raw_numpy/sepsis/20220526/20220526.124646.972.CD8-021_RI Tomogram.npy,13378.148085323712,49.135659299374794,13321.0,13369.0,13370.0,13373.0,14212.0
/data/tomocube/processed/raw_numpy/sepsis/20220526/20220526.122823.189.CD4-082_RI Tomogram.npy,13378.11532847491,50.63294734083862,13305.0,13369.0,13370.0,13373.0,14286.0
/data/tomocube/processed/raw_numpy/sepsis/20220526/20220526.124235.907.CD8-001_RI Tomogram.npy,13375.809665773997,42.17792858630706,13330.0,13369.0,13370.0,13372.0,14290.0
/data/tomocube/processed/raw_numpy/sepsis/20220526/20220526.121951.313.CD4-036_RI Tomogram.npy,13380.347084508556,42.72577765351263,13310.0,13369.0,13371.0,13376.0,14107.0
/data/tomocube/processed/raw_numpy/sepsis/20220526/20220526.123440.392.CD4-116_RI Tomogram.npy,13378.102566675168,51.87630811289162,13317.0,13369.0,13370.0,13372.0,14305.0
/data/tomocube/processed/raw_numpy/sepsis/20220526/20220526.125936.409.CD8-079_RI Tomogram.npy,13379.533383592883,50.666227623412844,13197.0,13369.0,13371.0,13373.0,14517.0
/data/tomocube/processed/raw_numpy/sepsis/20220526/20220526.122019.141.CD4-038_RI Tomogram.npy,13377.749881727528,34.82083394663438,13339.0,13370.0,13371.0,13375.0,13988.0
/data/tomocube/processed/raw_numpy/sepsis/20220526/20220526.122541.707.CD4-065_RI Tomogram.npy,13373.617975602865,28.68576127379388,13333.0,13369.0,13370.0,13372.0,14075.0
/data/tomocube/processed/raw_numpy/sepsis/20220526/20220526.130604.786.CD8-101_RI Tomogram.npy,13380.048301552295,56.42086298043458,13327.0,13369.0,13371.0,13373.0,14248.0
/data/tomocube/processed/raw_numpy/sepsis/20220526/20220526.122906.455.CD4-085_RI Tomogram.npy,13379.374246981926,54.79950919735299,13214.0,13369.0,13371.0,13373.0,14510.0
/data/tomocube/processed/raw_numpy/sepsis/20220526/20220526.122122.316.CD4-043_RI Tomogram.npy,13381.539084301017,55.112421032410026,13231.0,13369.0,13371.0,13376.0,14371.0
/data/tomocube/processed/raw_numpy/sepsis/20220526/20220526.122736.470.CD4-077_RI Tomogram.npy,13377.40012858693,47.19986425934971,13313.0,13369.0,13370.0,13372.0,14284.0
/data/tomocube/processed/raw_numpy/sepsis/20220526/20220526.130820.268.CD8-112_RI Tomogram.npy,13379.722616359608,55.129315305457496,13219.0,13369.0,13371.0,13373.0,14584.0
/data/tomocube/processed/raw_numpy/sepsis/20220526/20220526.121651.546.CD4-019_RI Tomogram.npy,13381.051377386704,52.302432443133384,13317.0,13370.0,13371.0,13376.0,14259.0
/data/tomocube/processed/raw_numpy/sepsis/20220526/20220526.125445.330.CD8-064_RI Tomogram.npy,13379.217226398016,54.29214213641621,13329.0,13369.0,13370.0,13372.0,14201.0
/data/tomocube/processed/raw_numpy/sepsis/20220526/20220526.125015.375.CD8-039_RI Tomogram.npy,13375.38415273902,28.34560157514168,13282.0,13369.0,13370.0,13373.0,14205.0
/data/tomocube/processed/raw_numpy/sepsis/20220526/20220526.124704.035.CD8-023_RI Tomogram.npy,13378.217164198697,51.5824557906113,13322.0,13369.0,13370.0,13372.0,14242.0
/data/tomocube/processed/raw_numpy/sepsis/20220526/20220526.121611.329.CD4-015_RI Tomogram.npy,13380.236893884838,50.434641602027106,13312.0,13369.0,13371.0,13375.0,14250.0
/data/tomocube/processed/raw_numpy/sepsis/20220526/20220526.122924.736.CD4-087_RI Tomogram.npy,13377.166125376321,47.12112137978478,13319.0,13369.0,13370.0,13372.0,14210.0
/data/tomocube/processed/raw_numpy/sepsis/20220526/20220526.125050.113.CD8-042_RI Tomogram.npy,13378.422446952422,49.09054089371355,13185.0,13369.0,13370.0,13373.0,14415.0
/data/tomocube/processed/raw_numpy/sepsis/20220526/20220526.123231.410.CD4-104_RI Tomogram.npy,13378.288615399426,51.2752705109552,13314.0,13369.0,13370.0,13372.0,14285.0
