image_id,file_name,image_type,quality,x,y,z
3603,20220510.160526.755.CD4-001_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,164,133,98
3604,20220510.160853.742.CD4-002_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,133,144,53
3601,20220510.160918.725.CD4-003_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,185,113,70
3596,20220510.160936.195.CD4-004_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,133,137,62
21,20220422.190839.007.CD4_2-001_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,169,133,45
18,20220422.190932.834.CD4_2-002_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,138,138,105
14,20220422.191000.457.CD4_2-003_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,138,138,105
12,20220422.194719.911.CD4_2-004_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,150,135,105
7,20220422.194800.534.CD4_2-005_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,127,142,105
5,20220422.195248.364.CD4_2-006_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,127,142,72
2,20220422.195937.460.CD4_2-007_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,127,142,72
765,20220425.132610.940.CD4-001_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,154,125,117
764,20220425.132626.378.CD4-002_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,154,125,117
761,20220425.132637.756.CD4-003_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,129,125,117
758,20220425.132651.362.CD4-004_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,166,129,117
755,20220425.132759.815.CD4-005_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,136,131,106
750,20220425.132814.645.CD4-006_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,160,134,106
748,20220425.132831.303.CD4-007_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,161,128,106
746,20220425.132948.690.CD4-008_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,153,153,106
743,20220425.133111.569.CD4-009_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,153,153,92
740,20220425.133137.974.CD4-010_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,153,153,114
737,20220425.133150.768.CD4-011_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,177,148,123
